2000,2002,2004,2006,2008,District
0.434943563314,0.325774278215,0.333244601205,0.357861350249,0.440773828652,D-87
0.495904623225,0.370164466064,0.457122841719,0.502137473282,0.559239892871,D-88
0.273144484887,0.2842258146,0.361603700848,0.458064516129,0.464289588833,D-89
0.501225859177,0.471890303624,0.475305695296,0.444665704187,0.462598652551,D-90
1.0,0.679551267147,0.648883682959,0.695300808141,0.553813559322,D-91
0.0,0.403465196583,0.423955108359,0.458908218356,0.532652014363,D-92
0.372927986794,0.0,0.476983198966,0.506549473055,0.594259641767,D-93
0.544610766618,0.640263630917,1.0,1.0,1.0,D-94
0.320489318198,0.396095444685,0.420141342756,0.384200991609,0.459341531138,D-95
0.408127441085,0.383868270406,0.456575017232,0.491708082658,0.482681295799,D-96
0.0,0.0,0.0,0.289924200407,0.280814830145,D-97
0.709868717026,0.359456272973,0.0,0.441363040629,0.453212161513,D-98
0.0,0.0,0.0,0.0,0.0,D-99
